"site_no","solar.time","temp.water","discharge","depth","cond","DO.obs","DO.sat"
"01208500",2016-06-23 20:55:58,22.1,79,0.408432,501,7.3,84
"01208500",2016-06-23 21:10:58,22.1,81.1,0.41148,502,7.3,84
"01208500",2016-06-23 21:25:58,22,79,0.408432,503,7.3,84
"01208500",2016-06-23 21:40:58,21.9,79,0.408432,504,7.3,84
"01208500",2016-06-23 21:55:58,21.9,79,0.408432,505,7.3,84
"01208500",2016-06-23 22:10:58,21.8,79,0.408432,506,7.3,84
"01208500",2016-06-23 22:25:58,21.7,79,0.408432,507,7.3,84
"01208500",2016-06-23 22:40:58,21.7,79,0.408432,508,7.3,84
"01208500",2016-06-23 22:55:58,21.6,79,0.408432,508,7.4,84
"01208500",2016-06-23 23:10:58,21.5,79,0.408432,509,7.4,84
"01208500",2016-06-23 23:25:58,21.5,79,0.408432,509,7.4,84
"01208500",2016-06-23 23:40:58,21.4,79,0.408432,510,7.4,84
"01208500",2016-06-23 23:55:58,21.3,79,0.408432,510,7.4,84
"01208500",2016-06-24 00:10:58,21.2,79,0.408432,510,7.4,84
"01208500",2016-06-24 00:25:58,21.2,77,0.405384,510,7.5,84
"01208500",2016-06-24 00:40:58,21.1,79,0.408432,510,7.5,84
"01208500",2016-06-24 00:55:58,21,77,0.405384,510,7.5,84
"01208500",2016-06-24 01:10:58,20.9,77,0.405384,510,7.5,85
"01208500",2016-06-24 01:25:58,20.9,77,0.405384,510,7.6,85
"01208500",2016-06-24 01:40:58,20.8,77,0.405384,510,7.6,85
"01208500",2016-06-24 01:55:58,20.7,74.9,0.402336,509,7.7,86
"01208500",2016-06-24 02:10:58,20.6,74.9,0.402336,509,7.7,86
"01208500",2016-06-24 02:25:58,20.6,74.9,0.402336,508,7.8,87
"01208500",2016-06-24 02:40:58,20.5,73,0.399288,508,7.9,88
"01208500",2016-06-24 02:55:58,20.5,73,0.399288,507,8,89
"01208500",2016-06-24 03:10:58,20.4,73,0.399288,507,8.1,90
"01208500",2016-06-24 03:25:58,20.4,73,0.399288,506,8.2,92
"01208500",2016-06-24 03:40:58,20.4,71,0.39624,506,8.4,93
"01208500",2016-06-24 03:55:58,20.4,71,0.39624,506,8.5,94
"01208500",2016-06-24 04:10:58,20.4,71,0.39624,505,8.6,96
"01208500",2016-06-24 04:25:58,20.4,71,0.39624,505,8.7,97
"01208500",2016-06-24 04:40:58,20.5,71,0.39624,505,8.9,99
"01208500",2016-06-24 04:55:58,20.6,69.1,0.393192,504,9.1,101
"01208500",2016-06-24 05:10:58,20.7,69.1,0.393192,504,9.2,103
"01208500",2016-06-24 05:25:58,20.8,69.1,0.393192,504,9.4,105
"01208500",2016-06-24 05:40:58,20.9,69.1,0.393192,503,9.5,107
"01208500",2016-06-24 05:55:58,21.1,69.1,0.393192,503,9.7,109
"01208500",2016-06-24 06:10:58,21.3,69.1,0.393192,503,9.8,111
"01208500",2016-06-24 06:25:58,21.6,67.3,0.390144,503,9.9,113
"01208500",2016-06-24 06:40:58,21.8,67.3,0.390144,503,10.1,115
"01208500",2016-06-24 06:55:58,22.1,69.1,0.393192,503,10.2,116
"01208500",2016-06-24 07:10:58,22.4,69.1,0.393192,504,10.2,118
"01208500",2016-06-24 07:25:58,22.7,67.3,0.390144,504,10.3,120
"01208500",2016-06-24 07:40:58,23,69.1,0.393192,504,10.4,121
"01208500",2016-06-24 07:55:58,23.3,69.1,0.393192,505,10.4,122
"01208500",2016-06-24 08:10:58,23.6,69.1,0.393192,505,10.5,124
"01208500",2016-06-24 08:25:58,23.9,71,0.39624,506,10.5,125
"01208500",2016-06-24 08:40:58,24.2,71,0.39624,507,10.5,126
"01208500",2016-06-24 08:55:58,24.4,69.1,0.393192,507,10.6,126
"01208500",2016-06-24 09:10:58,24.7,71,0.39624,507,10.6,127
"01208500",2016-06-24 09:25:58,24.9,71,0.39624,507,10.6,128
"01208500",2016-06-24 09:40:58,25.2,73,0.399288,507,10.6,129
"01208500",2016-06-24 09:55:58,25.5,73,0.399288,507,10.6,130
"01208500",2016-06-24 10:10:58,25.4,74.9,0.402336,506,10.4,128
"01208500",2016-06-24 10:25:58,25.6,74.9,0.402336,505,10.4,128
"01208500",2016-06-24 10:40:58,26,77,0.405384,507,10.5,129
"01208500",2016-06-24 10:55:58,26.3,77,0.405384,506,10.4,130
"01208500",2016-06-24 11:10:58,26.4,77,0.405384,506,10.4,129
"01208500",2016-06-24 11:25:58,26.5,77,0.405384,505,10.3,128
"01208500",2016-06-24 11:40:58,26.6,77,0.405384,504,10.3,128
"01208500",2016-06-24 11:55:58,26.8,79,0.408432,503,10.2,128
"01208500",2016-06-24 12:10:58,27,79,0.408432,499,10.2,128
