"site_no","solar.time","temp.water","discharge","depth","cond","DO.obs","DO.sat"
"01196500",2015-06-10 20:55:58,19.3,161,0.938784,428,7.8,85
"01196500",2015-06-10 21:10:58,19.1,165,0.947928,427,7.8,84
"01196500",2015-06-10 21:25:58,19.2,165,0.947928,426,7.8,85
"01196500",2015-06-10 21:40:58,19.2,164,0.94488,426,7.9,86
"01196500",2015-06-10 21:55:58,19.1,162,0.941832,427,7.8,84
"01196500",2015-06-10 22:10:58,19.1,162,0.941832,426,7.8,84
"01196500",2015-06-10 22:25:58,19.1,161,0.938784,426,7.8,84
"01196500",2015-06-10 22:40:58,18.9,160,0.935736,427,7.7,83
"01196500",2015-06-10 22:55:58,19.1,158,0.932688,426,7.8,84
"01196500",2015-06-10 23:10:58,19.1,158,0.932688,426,7.8,85
"01196500",2015-06-10 23:25:58,19,161,0.938784,427,7.8,84
"01196500",2015-06-10 23:40:58,19,161,0.938784,427,7.8,84
"01196500",2015-06-10 23:55:58,19,158,0.932688,427,7.8,84
"01196500",2015-06-11 00:10:58,18.8,158,0.932688,428,7.8,83
"01196500",2015-06-11 00:25:58,19,157,0.92964,427,7.8,84
"01196500",2015-06-11 00:40:58,19,156,0.926592,428,7.8,84
"01196500",2015-06-11 00:55:58,18.9,154,0.923544,429,7.8,84
"01196500",2015-06-11 01:10:58,18.9,154,0.923544,429,7.7,83
"01196500",2015-06-11 01:25:58,19,157,0.92964,429,7.8,84
"01196500",2015-06-11 01:40:58,18.9,157,0.92964,430,7.7,83
"01196500",2015-06-11 01:55:58,18.9,154,0.923544,431,7.7,83
"01196500",2015-06-11 02:10:58,18.9,154,0.923544,431,7.7,83
"01196500",2015-06-11 02:25:58,18.8,153,0.920496,431,7.7,82
"01196500",2015-06-11 02:40:58,18.8,151,0.917448,432,7.7,83
"01196500",2015-06-11 02:55:58,18.8,151,0.917448,432,7.7,83
"01196500",2015-06-11 03:10:58,18.8,150,0.9144,433,7.7,83
"01196500",2015-06-11 03:25:58,18.8,149,0.911352,433,7.8,84
"01196500",2015-06-11 03:40:58,18.9,150,0.9144,433,7.7,83
"01196500",2015-06-11 03:55:58,18.8,153,0.920496,435,7.7,83
"01196500",2015-06-11 04:10:58,18.8,151,0.917448,435,7.8,83
"01196500",2015-06-11 04:25:58,18.8,151,0.917448,435,7.7,83
"01196500",2015-06-11 04:40:58,18.9,150,0.9144,435,7.8,84
"01196500",2015-06-11 04:55:58,18.9,149,0.911352,436,7.8,84
"01196500",2015-06-11 05:10:58,18.9,149,0.911352,436,7.7,83
"01196500",2015-06-11 05:25:58,19,147,0.908304,436,7.8,84
"01196500",2015-06-11 05:40:58,19,147,0.908304,437,7.8,84
"01196500",2015-06-11 05:55:58,18.9,146,0.905256,437,7.7,83
"01196500",2015-06-11 06:10:58,19.2,150,0.9144,437,7.8,84
"01196500",2015-06-11 06:25:58,19.1,150,0.9144,438,7.8,84
"01196500",2015-06-11 06:40:58,19.2,149,0.911352,438,7.8,84
"01196500",2015-06-11 06:55:58,19.4,149,0.911352,437,7.9,85
"01196500",2015-06-11 07:10:58,19.4,149,0.911352,438,7.9,86
"01196500",2015-06-11 07:25:58,19.6,147,0.908304,438,7.9,87
"01196500",2015-06-11 07:40:58,19.5,147,0.908304,438,7.9,86
